Company_Name,Company_ID,Change_Count,,before,3.553571429
Cronin-Kulas,145,1,,,
"Bogan, Hyatt and Robel",146,1,,,
"Boehm, West and Oberbrunner",147,4,,,
Schmitt Inc,148,2,,,
Friesen and Sons,149,2,,,
"Homenick, Block and Abernathy",150,2,,,
Christiansen Group,151,1,,,
Gerlach Inc,152,3,,,
Rolfson PLC,153,0,,,
Reichert-Rowe,154,0,,,
Ankunding Group,155,0,,,
"Muller, Will and Kuphal",156,1,,,
Pagac-Hintz,157,2,,,
"Howell, Schuppe and Keeling",158,2,,,
"Bechtelar, Haley and Hahn",159,2,,,
Watsica LLC,160,1,,,
Jaskolski-McClure,161,2,,,
Abbott LLC,162,0,,,
"Marks, Funk and Ullrich",163,2,,,
Lemke-Heidenreich,164,2,,,
Gaylord and Sons,165,1,,,
Ortiz-Lesch,166,2,,,
Morissette-Champlin,167,0,,,
"Powlowski, Adams and Weimann",168,2,,,
Kutch-Nitzsche,169,2,,,
Stracke-Adams,170,2,,,
Torphy Ltd,171,1,,,
"Ward, Parisian and O'Reilly",172,0,,,
"Schumm, Toy and Moore",173,2,,,
Mraz-Mills,174,2,,,
Bauch-Strosin,175,2,,,
Krajcik LLC,176,2,,,
"Wisoky, Murazik and Sawayn",177,1,,,
O'Kon-Hickle,178,2,,,
"Moore, Blanda and Hyatt",179,1,,,
"Ullrich, Blanda and Stokes",180,2,,,
McCullough-Spencer,181,2,,,
Kihn and Sons,182,1,,,
Cassin PLC,183,1,,,
"Emard, Witting and DuBuque",184,0,,,
"Wisozk, Olson and Keebler",185,2,,,
Lynch-Keebler,186,1,,,
Kutch-Mueller,187,5,,,
Smitham-Kutch,188,0,,,
O'Keefe Inc,189,4,,,
"Ullrich, Koepp and Ondricka",190,2,,,
Beatty-Larson,191,2,,,
Hirthe and Sons,192,2,,,
Moen and Sons,193,1,,,
Wolff LLC,194,1,,,
Hermann PLC,195,2,,,
"Williamson, Ratke and Weissnat",196,2,,,
"Dare, Barton and Weber",197,0,,,
Mitchell-Schoen,198,2,,,
Bergstrom-Bruen,199,2,,,
"Breitenberg, Waelchi and Murphy",200,3,,,
